docId,sku,name,price,cat,supplier,sourceUrl,diagnosis_group,diagnosis_reason,matched_variant,matched_in_set
"htsNUrXwPanTj6RJEHx8","UK81294","נר הבדלה צבעוני ומהודר - 24 יחידות","26.14","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK81294&lang=he","C","not_found_after_normalization","",""
"hzi6Xkjlo3MCAVXhYfv7","UK67158","","108.98","","israel-judaica","","C","not_found_after_normalization","",""
"i0khR6OFNMktIJAp0y6m","UK83930","כלי מיני בשמים ""עם פרחים"" מקריסטל עם מכסה 4X6 ס""מ","71.92","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK83930&lang=he","C","not_found_after_normalization","",""
"i4tCNgblB160xLq3hazc","UK16672","כיפה סרוגה 16 ס""מ לבן עם ריקמה ""שמע ישראל"" כסף","19.47","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"i99nHviMqXeissN6ut7a","UK16355","כיפה סרוגה 17 ס""מ שחור מחורר","14.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"iAO6JSzKjPBTzUJ6STBy","UK81293","נר הבדלה צבעוני ומהודר 15 ס""מ","26.14","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK81293&lang=he","C","not_found_after_normalization","",""
"iDUBJY6rkyc8LDTnlez9","UK11229","כיפה סרוגה דגמים מעורבים - רקע לבן - 18 ס""מ - 24 יח","17.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"iGN8oJu5CsULUKbfhRFh","UK15633","(כמו 16412) כיפה קטיפה פלוש שחורה 6 חלקים גו","20.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"iGkOKWgaO0kk4BM831hv","UK18162","כיפה ד.מ.צ. לבן איכותי קשיח 16 ס""מ","47.94","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"iZJARtaPjEtUf8wHfJ6M","UK67000","","152.58","","israel-judaica","","C","not_found_after_normalization","",""
"idcnM83yc7q9GRu7PWmr","UK11209","כיפה סרוגה 19 ס""מ לבן מחורר - 12 יח","17.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"ioiBBj0tnzqaqWEA709q","UK17521","כיפה קטיפה ""ארט מן"" עם ריקמה אותיות גודל 4 - כחול כהה","30.5","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"iouoXWmcAfD5rTmsKcd0","UK19245","כיפה קטיפה ""ארט מן"" עם ריקמה אותיות גודל 4 - ירוק בהיר","30.5","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"j0ycNiYFhnPnyNzSOywX","UK10335","כיפה טרילין גודל 4 עם אותיות בולטות כסף ""יחי אדוננו..""","47.94","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"jD2KFpXlwyhQwSsmp4Mv","UK17003","כיפה פריק 21 ס""מ לבן חלק","20.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"jPWrjLsJNEpLZHipHvr4","UK17903","כיפה פריק לבן ""נחמן מאומן"" 19.5 ס""מ","23.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"jpwQWxAHn8ab5UB4mUde","UK17941","כיפה פשתן עם רקמה 19 ס""מ","23.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"jqN57H0VTfn3a9tAzuCS","UK16294","כיפה לבנה סטן פס כסף 17 ס""מ","5.07","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"k33S227FJAQAm8uhsDEW","UK19872","כיפת קטיפה שחורה 1/4 בד מעוטר גודל 4 - 20 ס""מ","8.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"k6glTlUHpHzSjQK9iM46","UK18966","כיפה דמוי עור ארטמן שחור 17 ס""מ","26.14","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"k7NfNzJJGJiNzK3UJwHb","UK18254","כיפה סרוגה 16 ס""מ כחול עם רקמה כסף מגן דוד","19.47","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"k806CoAj9Bt82WgDmWEi","UK14940","כיפה קטיפה ""ארט-מן"" עם ריקמה בבא סאלי גודל 4 - א","39.22","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"kBaPBltsr6qIAr0BpCW9","UK16175","כיפת קטיפה שחורה 1/4 נצנץ ברונזה גודל 3 - 19 ס""","8.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"kJaSaUZwkgJwZkLyQoCN","UK67312","","108.98","","israel-judaica","","C","not_found_after_normalization","",""
"kNFhlwtpeIDJY4pNkElj","UK11885","כיפה טרלין גודל 22 סמ רקמה ""יחי אדוננו..""","29.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"kNZROtH1hIHh4BYJBQae","UK67380","","108.98","","israel-judaica","","C","not_found_after_normalization","",""
"kO9JSFyBxGRor2abJSX9","UK19106","כיפה קטיפה ""ארט-מן"" כחולה 6 חלקים עם סרט גודל 2","29.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"kOmPg6CsWO88Z3LFENzA","UK18262","כיפה בד ארטמן כחול כהה 19 ס""מ","29.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"kWV4mWx1DWZIjS0SBQrC","UK16352","כיפה סרוגה 15 ס""מ לבן מחורר","14.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"ke4Nr6nHgmuTplmXwnMz","UK10304","כיפה פריק 23 ס""מ גוונים","23.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"keAuBTGiqdnAaUmTrvIb","UK15019","כיפה קטיפה ""ארט-מן"" 17 ס""מ - כחול","26.14","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"kfNPcURiRj7ApsEkUvgL","UK10192","כיפה קטיפה ""ארט-מן"" עם ריקמה יברכך גודל 4 - לבן","39.22","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"ku1xrxJr3Sboz15rJYi9","UK17387","כיפה סרוגה שטיח 20 ס""מ כחול לבן ואפור","17.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"kwal9M1exqQPFrPtaLMl","UK82457","סט הבדלה קריסטל שקוף עם פלקטה מגש מסתובב 20סמ","376.18","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK82457&lang=he","C","not_found_after_normalization","",""
"l1tpn5nqJFpqAz8WP0Cw","UK42148","כלי לבשמים מקריסטל עם פלקטה ""ירושלים"" 8.5X5 ס""מ עם","108.98","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK42148&lang=he","C","not_found_after_normalization","",""
"lMeseeEIGWYW1CtQzg8X","UK10136","כיפה פריק 22 ס""מ פסים חום תכלת ושחור","23.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"lVGPbNycs1TOkjlxwGU6","UK10107","כיפה בוכרית גודל 60 ס""מ - צבעים שונים","23.96","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"ldK3UhLUZU7VSLiEpKJo","UK67382","","108.98","","israel-judaica","","C","not_found_after_normalization","",""
"lhUdF6ikSCCM7qpM8uz1","UK81770","סט הבדלה מהודר מקריסטל עם פלקטה 20 ס""מ","376.18","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK81770&lang=he","C","not_found_after_normalization","",""
"lj8Uv3MIg6Z5pLtv5iwH","UK11308","כיפה קטיפה ""ארט-מן"" עם אותיות בולטות בבא סאלי גודל 4 - שחור","43.58","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"lxWTK1MWzgdp1Z0GmSSc","UK80648","כלי לנר הבדלה מקריסטל עם פלקטה ""ירושלים"" 13 ס""מ","119.88","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK80648&lang=he","C","not_found_after_normalization","",""
"m1FIlJSvRJot7sNk1bN0","UK11548","כיפה DMC סריגה ישראלית חלק שחור 14-16 ס""מ אין החזרת סחורה","65.38","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"m7ZLJQANJLoJtj3MvM1I","UK18932","כיפה קטיפה ארטמן שחורה 4 חלקים עם סרט 16 ס""מ","26.14","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"m8mKGQ75e6no31rt8RXb","UK19097","כיפה קטיפה ארטמן כחולה 4 חלקים עם סרט גודל 5","29.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"mF2iBjQ7gjmQwso8KB6a","UK14951","כיפה קטיפה ""ארט-מן"" עם ריקמה מגן דוד גודל 4 - כחול כהה","39.22","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"mKimBSqA3nQCLgoh0q46","UK81547","כלי לבשמים מאקריליק נצנצים כסף 8 ס""מ","71.92","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK81547&lang=he","C","not_found_after_normalization","",""
"mQOFZUBqWfuY8GeDdurM","UK19031","כיפה עור בד ארטמן אפור בהיר 15 ס""מ","23.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"mZtG1mvNrlo3QlvZVMeq","UK52912","סיכות לכיפה צבע כסף בליסטר 12 יח` חזקות מאוד","5.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"maYD64OXyLuWHA1kaoAc","UK17678","כיפה פריק אפור כהה עם חורים 24 ס""מ","23.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"mqBQYxlPmJgLpewH8h61","UK15623","כיפה קטיפה פלוש שחורה 4 חלקים גודל 6 22 ס""מ עם","20.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"mtiDt0wN19DZNlhI561F","UK15397","כיפה קטיפה ""ארט-מן"" 19 ס""מ - ירוק","26.14","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"murRcgWWtwzrrQY09vqj","UK51675","","196.18","","israel-judaica","","C","not_found_after_normalization","",""
"n1dHMkq7h9HmBIjopHRF","UK11017","כיפה פריק 24 ס""מ שחור ""נחמן מאומן""","23.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"nLGMmQl1OHSkhLHmJVFQ","UK10301","כיפה ארטמן קטיפה חום רקמה שמע ישראל גודל 3","39.22","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"nLQDiFsklNzEfizrWPxO","UK10363","כיפה קטיפה ""ארט-מן"" עם אותיות בולטות הרב יורם אברגל גודל 4 - שחור","43.58","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"nMOi6C9kDbUYVHtbVbG9","UK19918","כיפה בד מהודרת גודל 2 - 17.5 ס""מ","8.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"nSk1uQNgQrWXU6bd84nT","UK66466","","152.58","","israel-judaica","","C","not_found_after_normalization","",""
"nSyRZGfYXgdTD2jyM7T2","UK82554","סט הבדלה קריסטל 22X11 ס""מ","353.58","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK82554&lang=he","C","not_found_after_normalization","",""
"nVFtniFbZh7JG39PYMF1","UK18313","כיפה סטן לבן ""עיטורים"" 17 ס""מ","6.87","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"nWAXxwY1QJak0X7p87yW","UK19107","כיפה קטיפה ""ארט-מן"" כחולה 6 חלקים עם סרט גודל 3","29.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
