doc_id,our_name,paldinox_name,match_confidence,match_score,paldinox_sku,sku_method,source_url,cat,price
"1thCqJefIJWP7mcVnmSy","מנורת רצפה עם עיטור נוצות שחורות","h75D75 מנורת רצפה עיטור נוצות שחורות","fuzzy","0.83","X4213","json-ld","https://paldinox.co.il/product/h75d75-%d7%9e%d7%a0%d7%95%d7%a8%d7%aa-%d7%a8%d7%a6%d7%a4%d7%94-%d7%a2%d7%99%d7%98%d7%95%d7%a8-%d7%a0%d7%95%d7%a6%d7%95%d7%aa-%d7%a9%d7%97%d7%95%d7%a8%d7%95%d7%aa/","עיצוב הבית","1282.71"
"22Pn5Kfz2ryogNQJfKtP","סט 6 כוסות ברנדי סדרת CITY","","url_only","","","HTTP_404","https://paldinox.co.il/product/660ml-%d7%a1%d7%986-%d7%9b%d7%95%d7%a1-%d7%91%d7%a8%d7%a0%d7%93%d7%99-city/","כלי שולחן והגשה","173.92"
"25oIP4Q719DdrMiUE7c1","סט 2 פמוטי עץ וברזל","","url_only","","X4832","json-ld","https://paldinox.co.il/product/h14-5-12-%d7%a1%d7%98-2-%d7%a4%d7%9e%d7%95%d7%98%d7%99-%d7%a2%d7%a5-%d7%98%d7%91%d7%a2%d7%99-%d7%91%d7%a8%d7%96%d7%9c-d12-2/","עיצוב הבית","326.76"
"26seQIR1IGwFHw2WGuEd","מגש אובלי זהב עם גימור זכוכית שקופה","","url_only","","","HTTP_404","https://paldinox.co.il/product/%d7%9e%d7%92%d7%a9-%d7%90%d7%95%d7%91%d7%9c%d7%99-%d7%9e%d7%aa%d7%9b%d7%aa-%d7%96%d7%94%d7%91-%d7%a4%d7%a2%d7%9e%d7%95%d7%9f-%d7%96%d7%9b%d7%95%d7%9b%d7%99%d7%aa-%d7%a9%d7%a7%d7%95%d7%a3-%d7%92%d7%95/","כלי שולחן והגשה","475"
"29qexfNVzCxX2dU0zQUr","מגש שיש מלבני לבן עם מסגרת מתכת מצופה זהב","","url_only","","","HTTP_404","https://paldinox.co.il/product/%d7%9e%d7%92%d7%a9-%d7%a9%d7%99%d7%a9-%d7%9e%d7%9c%d7%91%d7%a0%d7%99-%d7%9c%d7%91%d7%9f-%d7%9e%d7%a1%d7%92%d7%a8%d7%aa-%d7%9e%d7%aa%d7%9b%d7%aa-%d7%a6%d7%99%d7%a4%d7%95%d7%99-%d7%96%d7%94%d7%91-34-18/","עיצוב הבית","193.5"
"2SvLquh1YEvUzp3t2dgD","סט 4 מגשים עגולים מתכת לבן עם רגלי כדור","","url_only","","","HTTP_404","https://paldinox.co.il/product/%d7%a1%d7%98-4-%d7%9e%d7%92%d7%a9%d7%99-%d7%9e%d7%aa%d7%9b%d7%aa-%d7%a2%d7%92%d7%95%d7%9c%d7%99%d7%9d-%d7%9c%d7%91%d7%9f-%d7%a8%d7%92%d7%9c%d7%99-%d7%9b%d7%93%d7%95%d7%a8-%d7%a7%d7%95%d7%98%d7%a8-27-5/","כלי שולחן והגשה","215.23"
"2bNBw25ag0AVoLeFEIEQ","בונבוניירת קריסטל עם מכסה – קולקציית CASABLANCA","","url_only","","","HTTP_404","https://paldinox.co.il/product/18-%d7%91%d7%95%d7%a0%d7%91%d7%95%d7%a0%d7%99%d7%a8%d7%94-%d7%a7%d7%a8%d7%99%d7%a1%d7%98%d7%9c-%d7%95%d7%9e%d7%9b%d7%a1%d7%94-casablanca/","כלי שולחן והגשה","215.23"
"310ObAN7SLyOEBcDwEM9","מסגרת תמונה 4 תמונות בטיטניום","","url_only","","CK459A","json-ld","https://paldinox.co.il/product/%d7%9e%d7%a1%d7%92%d7%a8%d7%aa-4-%d7%aa%d7%9e%d7%95%d7%a0%d7%95%d7%aa-10x15-%d7%98%d7%99%d7%98%d7%a0%d7%99%d7%95%d7%9d-2/","עיצוב הבית","173.92"
"32eXpvaSFwVDNKD5IYNc","קופסת פורצלן זהובה עם מכסה זכוכית","","url_only","","","HTTP_404","https://paldinox.co.il/product/%d7%a7%d7%95%d7%a4%d7%a1%d7%aa-%d7%a4%d7%95%d7%a8%d7%a6%d7%9c%d7%9f-%d7%96%d7%94%d7%91-%d7%9e%d7%9b%d7%a1%d7%94-%d7%96%d7%9b%d7%95%d7%9b%d7%99%d7%aa-%d7%a2%d7%99%d7%98%d7%95%d7%a8-%d7%96%d7%94%d7%91/","עיצוב הבית","302.21"
"3B8JyxkNF4l7u4mOfLJ6","קנקן זכוכית עם פסים וברז נירוסטה – 1.7 ליטר","1.7 ליטר קנקן זכוכית פסים מכסה נירוסטה","fuzzy","0.82","","HTTP_404","https://paldinox.co.il/product/1-7-%d7%9c%d7%99%d7%98%d7%a8-%d7%a7%d7%a0%d7%a7%d7%9f-%d7%96%d7%9b%d7%95%d7%9b%d7%99%d7%aa-%d7%a4%d7%a1%d7%99%d7%9d-%d7%9e%d7%9b%d7%a1%d7%94-%d7%a0%d7%99%d7%a8%d7%95%d7%a1%d7%98%d7%94-%d7%96%d7%94/","כלי שולחן והגשה","84.8"
