supplier,sku,sourceUrl,name
"paldinox","","https://paldinox.co.il/product/קופסת-מתכת-מלבנית-בז-עם-ידית-30-15-גובה-10-סמ",""
"paldinox","","https://paldinox.co.il/product/עציץ-מתכת-תלוי-מוקה-גובה-42-קוטר-16-סמ",""
"paldinox","","https://paldinox.co.il/product/מגש-מתכת-עגול-בז-על-רגל-עם-ידיות-גובה-48-קו",""
"paldinox","","https://paldinox.co.il/product/lilylotus-סט-2-פמוטי-טוליפ-מתכת-לילך-ירוק-קוטר-9",""
"paldinox","","https://paldinox.co.il/product/קטלוג-pip-studio-home-סתיו-חורף-2025",""
"paldinox","","https://paldinox.co.il/product/jolie-אגרטל-מתכת-כחול-גובה-33-קוטר-19-סמ-home-decor",""
"paldinox","","https://paldinox.co.il/product/jolie-אגרטל-מתכת-טורקיז-גובה-26-קוטר-15-סמ-home-decor",""
"paldinox","","https://paldinox.co.il/product/blush-bird-סט-6-ספלי-אספרסותחתיות-120-מל-לבן",""
"paldinox","","https://paldinox.co.il/product/%d7%9b%d7%9c%d7%99-%d7%90%d7%97%d7%a1%d7%95%d7%9f-%d7%96%d7%9b%d7%95%d7%9b%d7%99%d7%aa-%d7%a9%d7%a7%d7%95%d7%a4%d7%94-%d7%9e%d7%9b%d7%a1%d7%94-%d7%a2%d7%a5-%d7%9c%d7%97%d7%99%d7%a6%d7%aa-%d7%95%d79-2",""
"paldinox","","https://paldinox.co.il/product/כלי-אחסון-זכוכית-שקופה-מכסה-עץ-לחיצת-וא",""
"paldinox","","https://paldinox.co.il/product/סט-7-חל-דיקנטר-קריסטל-700-מל-ו6-כוסות-280-מל",""
"paldinox","","https://paldinox.co.il/product/דיקנטר-זכוכית-שקופה-750-מל",""
"paldinox","","https://paldinox.co.il/product/קערית-טרוורטין-עגול-קוטר-10-גובה-6-סמ",""
"paldinox","","https://paldinox.co.il/product/1-8-ליטר-קנקן-זכוכית-שקופה-רקועה-עם-ידית-מ",""
"paldinox","","https://paldinox.co.il/product/סט-4-קעריות-מרובעות-עם-מגש-porcelain-לבן-פס-זהב-25-5-25",""
"paldinox","","https://paldinox.co.il/product/מגש-עלה-porcelain-לבן-פס-זהב35-5-18-עומק-6-סמ",""
"paldinox","","https://paldinox.co.il/product/מעמד-לנייר-מטבח-שבלול-מוזהב-בסיס-עץ",""
