docId,sku,name,price,cat,supplier,sourceUrl
"zqgH83nD8OQhEyb18eh1","UK40789","מסגרת זכוכית עם פלקטה חיתוך לייזר ""מזמור לתודה"" 28X23 ס""מ","130.78","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK40789&lang=he"
"zrKErAdKt6BPk0snbTSu","UK42353","מחלק יין מסתובב קריסטל מהודר עם 8 כוסיות ""כסף"" 25X33 ס""מ","475.18","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK42353&lang=he"
"zrRsoQiXVDHnpfuoe37T","UK42595","מחזיק מפתחות זהב בצורת רימון 5 ס""מ","20.97","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK42595&lang=he"
"zubtUXDIKP4cFAS4oki2","UK43750","בית חנוכייה מהודר מאלומיניום וזכוכית 50X25X60 ס""מ","518.98","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK43750&lang=he"
"zufFQkpWpwZqvCgw4EZ3","UK60215","כיסוי חלה מהודר דמוי עור לבן פרחים כחולים 45X55 ס""מ","87.18","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK60215&lang=he"
"zuk99RXJVageUoIGKn5c","UK10330","כיפה בד מהודרת 19 ס""מ - אפור","26.14","כיפות","israel-judaica",""
"zw2z3MEFMNr6c6PUA8kb","UK40424","גביע קריסטל מהודר ללא רגל 9 ס""מ תכולה 100 מ""ל","130.78","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK40424&lang=he"
"zwVOzuYwBbANOUkTNBsQ","UK82384","קופת צדקה אקריליק ""האש שלי""","152.58","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK82384&lang=he"
"zxg1tFKB48w7nXJSXRls","UK10610","כיפה פשתן שחור 17 ס""מ עם מקום לסיכה","8.97","כיפות","israel-judaica",""
"zzM8tjGeYy39tLtN6Pr4","UK55786","חסיד יושב מפוליריזן עם רגלי בד 10.5 ס""מ - מנגן בתוף","65.38","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK55786&lang=he"
"011Hm2cXBj8U9Ux3p0Wd","","סט 6 כוסות אספרסו Marine כחול וזהב – New Bone China","347.86","כלי שולחן והגשה","paldinox","https://paldinox.co.il/product/%d7%a1%d7%98-6-%d7%9b%d7%95%d7%a1-%d7%90%d7%a1%d7%a4%d7%a8%d7%a1%d7%95-%d7%a2%d7%9d-%d7%aa%d7%97%d7%aa%d7%99%d7%aa-marine-%d7%9b%d7%97%d7%95%d7%9c-%d7%96%d7%94%d7%91-80-%d7%9e%d7%9c-new-bone-china/"
"01ED2zZ4P4dgWxKh2Ewj","","מעמד 3 קומות עגול בצבע שחור","457.56","עיצוב הבית","paldinox","https://paldinox.co.il/product/h50d30-%d7%9e%d7%a2%d7%9e%d7%93-3-%d7%a7%d7%95%d7%9e%d7%95%d7%aa-%d7%a2%d7%92%d7%95%d7%9c-%d7%a9%d7%97%d7%95%d7%a8-2/"
"01KDlTGKMjET0syymjO1","","קערת הגשה מחולקת סדרת גלאסיאר","628.32","כלי שולחן והגשה","paldinox","https://paldinox.co.il/product/%d7%92%d7%9c%d7%90%d7%a1%d7%99%d7%90%d7%a8-%d7%a7%d7%a2%d7%a8%d7%94-%d7%9e%d7%97%d7%95%d7%9c%d7%a7%d7%aa-280/"
"03IWMAIkXemqKHaIwDxn","X5394","קערת פסח עם ציפוי כסף בעיצוב תחרה עדין","323.95","עיצוב הבית","paldinox","https://paldinox.co.il/product/%d7%a7%d7%a2%d7%a8%d7%94-%d7%9c%d7%a4%d7%a1%d7%97-%d7%aa%d7%97%d7%a8%d7%94-%d7%a6%d7%99%d7%a4%d7%95%d7%99-%d7%9b%d7%a1%d7%a3/"
"04PJ5kvKZFgtsaaOvygP","","זוג נרות ריחניים אמבר יוקרתי","215.23","עיצוב הבית","paldinox","https://paldinox.co.il/product/9-20-%d7%96%d7%95%d7%92-%d7%a0%d7%a8-%d7%a8%d7%99%d7%97%d7%a0%d7%99-%d7%90%d7%9e%d7%91%d7%a8-%d7%99%d7%95%d7%a7%d7%a8%d7%aa%d7%99/"
"04soRoi7imSEnHiCasjQ","","זוג ספלי תה לילך-צבעוני עם תחתיות – Lily&Lotus","215.23","כלי שולחן והגשה","paldinox","https://paldinox.co.il/product/lilylotus-%d7%96%d7%95%d7%92-%d7%a1%d7%a4%d7%9c%d7%99-%d7%aa%d7%94%d7%aa%d7%97%d7%aa%d7%99%d7%95%d7%aa-%d7%9c%d7%99%d7%9c%d7%9a-%d7%a6%d7%91%d7%a2%d7%95%d7%a0%d7%99-280-%d7%9e%d7%9c-2/"
"05tVKXL5HIFnRM1CSQrZ","X389A","מעמד בשמים להבדלה בגימור מוכסף","84.8","יודאיקה","paldinox","https://paldinox.co.il/product/%d7%9e%d7%a2%d7%9e%d7%93-%d7%9c%d7%91%d7%a9%d7%9e%d7%99%d7%9d-%d7%9c%d7%94%d7%91%d7%93%d7%9c%d7%94-%d7%9b%d7%a8%d7%99%d7%95%d7%aa-%d7%9e%d7%95%d7%9b%d7%a1%d7%a3/"
"082i8zPFfVYH0byZMtpg","","סט הגשה 10 חלקים Urban שחור וזהב – New Bone China","760.58","כלי שולחן והגשה","paldinox","https://paldinox.co.il/product/%d7%9e%d7%a2%d7%a8%d7%9b%d7%aa-%d7%94%d7%92%d7%a9%d7%94-%d7%9c%d7%a9%d7%95%d7%9c%d7%97%d7%9f-10-%d7%97%d7%9c%d7%a7%d7%99%d7%9d-urban-%d7%a9%d7%97%d7%95%d7%a8-%d7%96%d7%94%d7%91-%d7%9c%d7%91%d7%9f/"
"08PPf3mDps42swO7R6zC","","דיקנטר ניקולט זהב 1.0L","628.32","כלי שולחן והגשה","paldinox","https://paldinox.co.il/product/%d7%a0%d7%99%d7%a7%d7%95%d7%9c%d7%98-%d7%93%d7%99%d7%a7%d7%a0%d7%98%d7%a8-1-0l-%d7%96%d7%94%d7%91/"
"0AwRZeRyA6aQ45wiOIbm","","מגבת מטבח Flower Festival ורוד","79.9","כלי שולחן והגשה","paldinox","https://paldinox.co.il/product/flower-festival-%d7%9e%d7%92%d7%91%d7%aa-%d7%9e%d7%98%d7%91%d7%97-70-50-%d7%a1%d7%9e-%d7%95%d7%a8%d7%95%d7%93-3/"
"0F8ym6XIC7MXsdowluDi","X5301A","נטלה אקרילית כחול סגול הדרגתי עם ידיות שקופות","128.34","יודאיקה","paldinox","https://paldinox.co.il/product/%d7%a0%d7%98%d7%9c%d7%94-%d7%90%d7%a7%d7%a8%d7%99%d7%9c%d7%99%d7%aa-%d7%9b%d7%97%d7%95%d7%9c-%d7%a1%d7%92%d7%95%d7%9c-%d7%94%d7%93%d7%a8%d7%92%d7%aa%d7%99-%d7%93%d7%9e%d7%93%d7%95%d7%9e%d7%99%d7%9d/"
"0KuijOczfOSfwS0KUbJZ","","מגש מראה שחור 40×30 ס""מ","47.83","עיצוב הבית","paldinox","https://paldinox.co.il/product/40-30%d7%a1%d7%9e-%d7%9e%d7%92%d7%a9-%d7%9e%d7%a8%d7%90%d7%94-%d7%a9%d7%97%d7%95%d7%a8/"
"0NSG5p6azkiavNUyRHA4","X5009","חנוכיית אלומיניום זהב 'מן המשכן'","740.96","יודאיקה","paldinox","https://paldinox.co.il/product/h73-45-15-%d7%97%d7%a0%d7%95%d7%9b%d7%99%d7%94-%d7%90%d7%9c%d7%95%d7%9e%d7%99%d7%a0%d7%99%d7%95%d7%9d-%d7%a6%d7%99%d7%a4%d7%95%d7%99-%d7%96%d7%94%d7%91-%d7%93%d7%92%d7%9d-%d7%9e%d7%a0%d7%95%d7%a8/"
"0OdRMtCOsJiaOxDyWQgb","","קנקן תה Flower Festival תכלת – 1600 מ""ל","340.12","כלי שולחן והגשה","paldinox","https://paldinox.co.il/product/flower-festival-%d7%a7%d7%a0%d7%a7%d7%9f-%d7%9c%d7%aa%d7%94-1600-%d7%9e%d7%9c-%d7%aa%d7%9b%d7%9c%d7%aa-2/"
"0PTnpN6FGWW9Mh7EZCWT","","מגש הגשה עגול זכוכית שקופה עם עיטור זהב","215.23","כלי שולחן והגשה","paldinox","https://paldinox.co.il/product/%d7%9e%d7%92%d7%a9-%d7%99%d7%a8%d7%97-%d7%a8%d7%9e%d7%93%d7%90%d7%9f-%d7%a2%d7%92%d7%95%d7%9c-%d7%96%d7%9b%d7%95%d7%9b%d7%99%d7%aa-%d7%a9%d7%a7%d7%95%d7%a4%d7%94-%d7%96%d7%94%d7%91-%d7%92%d7%95%d7%91/"
