supplier,holiday,sku,name,price,supplierPrice,variants,images,url
mysiddurname,פורים,MSN-10056,"מארז יין עם מגילת אסתר לפורים",94.9,94.9,0,3,https://mysiddurname.co.il/product/%d7%9e%d7%90%d7%a8%d7%96-%d7%99%d7%99%d7%9f-%d7%a2%d7%9d-%d7%9e%d7%92%d7%99%d7%9c%d7%aa-%d7%90%d7%a1%d7%aa%d7%a8-%d7%9c%d7%a4%d7%95%d7%a8%d7%99%d7%9d/
mysiddurname,פורים,MSN-de015e0db4c4,"מארז לפורים – מגילת אסתר לצד פרלינים שוויצרים – שחור",64.9,64.9,0,1,https://mysiddurname.co.il/product/%d7%9e%d7%90%d7%a8%d7%96-%d7%9c%d7%a4%d7%95%d7%a8%d7%99%d7%9d-%d7%9e%d7%92%d7%99%d7%9c%d7%aa-%d7%90%d7%a1%d7%aa%d7%a8-%d7%9c%d7%a6%d7%93-%d7%a4%d7%a8%d7%9c%d7%99%d7%a0%d7%99%d7%9d-%d7%a9%d7%95%d7%95/
mysiddurname,פורים,MSN-1285,"מארז לפורים – מגילת אסתר ""אורה ושמחה"" לצד פרלינים שוויצרים",99,99,0,3,https://mysiddurname.co.il/product/%d7%9e%d7%90%d7%a8%d7%96-%d7%9c%d7%a4%d7%95%d7%a8%d7%99%d7%9d-%d7%9e%d7%92%d7%99%d7%9c%d7%aa-%d7%90%d7%a1%d7%aa%d7%a8-%d7%90%d7%95%d7%a8%d7%94-%d7%95%d7%a9%d7%9e%d7%97%d7%94-%d7%9c%d7%a6%d7%93/
mysiddurname,פורים,MSN-065ff946a406,"מארז יוקרתי לפורים – מגילת אסתר ""אורה ושמחה"", יין ושוקולדים",169,169,0,3,https://mysiddurname.co.il/product/%d7%9e%d7%90%d7%a8%d7%96-%d7%99%d7%95%d7%a7%d7%a8%d7%aa%d7%99-%d7%9c%d7%a4%d7%95%d7%a8%d7%99%d7%9d-%d7%9e%d7%92%d7%99%d7%9c%d7%aa-%d7%90%d7%a1%d7%aa%d7%a8-%d7%90%d7%95%d7%a8%d7%94-%d7%95%d7%a9/
mysiddurname,פסח,MSN-5012,"סט מחזורים מעוצב קרטיה בצבע חום",399,399,0,2,https://mysiddurname.co.il/product/%d7%a1%d7%98-%d7%9e%d7%97%d7%96%d7%95%d7%a8%d7%99%d7%9d-%d7%9e%d7%a2%d7%95%d7%a6%d7%91-%d7%a7%d7%a8%d7%98%d7%99%d7%94-%d7%91%d7%a6%d7%91%d7%a2-%d7%97%d7%95%d7%9d/
mysiddurname,פסח,MSN-5010,"סט מחזורים מעוצב קרטיה בצבע אפור",399,399,0,2,https://mysiddurname.co.il/product/%d7%a1%d7%98-%d7%9e%d7%97%d7%96%d7%95%d7%a8%d7%99%d7%9d-%d7%9e%d7%a2%d7%95%d7%a6%d7%91-%d7%a7%d7%a8%d7%98%d7%99%d7%94-%d7%91%d7%a6%d7%91%d7%a2-%d7%90%d7%a4%d7%95%d7%a8/
mysiddurname,פסח,MSN-5011,"סט מחזורים מעוצב קרטיה בצבע ורוד בייבי",399,399,0,2,https://mysiddurname.co.il/product/%d7%a1%d7%98-%d7%9e%d7%97%d7%96%d7%95%d7%a8%d7%99%d7%9d-%d7%9e%d7%a2%d7%95%d7%a6%d7%91-%d7%a7%d7%a8%d7%98%d7%99%d7%94-%d7%91%d7%a6%d7%91%d7%a2-%d7%95%d7%a8%d7%95%d7%93-%d7%91%d7%99%d7%99%d7%91%d7%99/
mysiddurname,פסח,MSN-5013,"סט מחזורים מעוצב קרטיה בצבע לבן",399,399,0,2,https://mysiddurname.co.il/product/%d7%a1%d7%98-%d7%9e%d7%97%d7%96%d7%95%d7%a8%d7%99%d7%9d-%d7%9e%d7%a2%d7%95%d7%a6%d7%91-%d7%a7%d7%a8%d7%98%d7%99%d7%94-%d7%91%d7%a6%d7%91%d7%a2-%d7%9c%d7%91%d7%9f/
mysiddurname,פסח,MSN-5009,"סט מחזורים מעוצב קרטיה בצבע שחור",399,399,0,2,https://mysiddurname.co.il/product/%d7%a1%d7%98-%d7%9e%d7%97%d7%96%d7%95%d7%a8%d7%99%d7%9d-%d7%9e%d7%a2%d7%95%d7%a6%d7%91-%d7%a7%d7%a8%d7%98%d7%99%d7%94-%d7%91%d7%a6%d7%91%d7%a2-%d7%a9%d7%97%d7%95%d7%a8/
mysiddurname,פסח,MSN-5008,"סט מחזורים מעוצב כותל בצבע שחור כסף",399,399,0,3,https://mysiddurname.co.il/product/%d7%a1%d7%98-%d7%9e%d7%97%d7%96%d7%95%d7%a8%d7%99%d7%9d-%d7%9e%d7%a2%d7%95%d7%a6%d7%91-%d7%9b%d7%95%d7%aa%d7%9c-%d7%91%d7%a6%d7%91%d7%a2-%d7%a9%d7%97%d7%95%d7%a8-%d7%9b%d7%a1%d7%a3/
