id,source,name,code_or_url,reason,prevStatus,checkedUrl
"u1FnoyHfaXUuHPtcwDGH","israel-judaica","כיפה בד מהודרת גודל 2 - 17.5 ס""מ","UK19983","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"uQHOKUv93MrsVHc8HBZk","israel-judaica","מזמור לתודה בלוק אקריליק רקע ורוד","UK80197","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"vAfje72eI8ifPzGWsAeS","israel-judaica","כיסוי חלה מהודר דמוי עור ורוד 45X55 ס""מ","UK60231","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"xPacvA1Quu4eEp4PNjh3","israel-judaica","סט להגשת תפוח בדבש זכוכית בלתי שבירה 19 ס""מ","UK81504","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"xV1m5eSdUFSM5irCztVC","israel-judaica","נטלה ""במבוק עבה"" עם הדפסה ""נטילת ידים"" 14 ס""מ","UK82760","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"xXMKOnInCwTigaofLXq8","israel-judaica","נטלה מהודרת קלה ""עץ מנגו עבודת יד"" 14 ס""מ","UK41246","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"xjgY0wfjvfO5x3uGdQ02","israel-judaica","פמוטי קריסטל מהודרים 10 סמ","UK82754","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"ySvA9EzPuW0gKBLkRsRT","israel-judaica","מלחיה קריסטל זהב","UK81650","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"zufFQkpWpwZqvCgw4EZ3","israel-judaica","כיסוי חלה מהודר דמוי עור לבן פרחים כחולים 45X55 ס""מ","UK60215","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"zvPuMjq3xfNCyQhQGRZu","israel-judaica","מזוזה פלסטיק לבנה 15 ס""מ ""ש"" כסף עם פקק גומי וחורים","UK20068","not_at_supplier","inactive","https://www.israel-judaica.com (feed)"
